INPUT_DATE	PYLON	PYLON1	PYLON2
2005/02/07 14:31:00	2255	0	0
2005/02/07 14:31:10	1204	0	0
2005/02/07 14:31:20	9484	0	0
2005/02/07 14:31:30	20363	0	0
2005/02/07 14:31:40	21051	0	0
2005/02/07 14:31:50	17642	0	0
2005/02/07 14:32:00	19385	0	0
2005/02/07 14:32:10	17541	0	0
2005/02/07 14:32:20	21314	0	0
2005/02/07 14:32:30	18424	0	0
2005/02/07 14:32:40	7552	0	0
2005/02/07 14:32:50	2600	0	0
2005/02/07 14:33:00	2978	0	0
2005/02/07 14:33:10	3406	0	0
2005/02/07 14:33:20	1536	0	0
2005/02/07 14:33:30	5709	0	0
2005/02/07 14:33:40	9197	0	0
2005/02/07 14:33:50	5603	0	0
2005/02/07 14:34:00	4832	0	0
2005/02/07 14:34:11	1447	0	0
2005/02/07 14:34:20	1356	0	0
2005/02/07 14:34:30	1080	0	0
2005/02/07 14:34:40	5078	0	0
2005/02/07 14:34:50	2540	0	0
2005/02/07 14:35:00	4118	0	0
2005/02/07 14:35:10	2764	0	0
2005/02/07 14:35:20	1455	0	0
2005/02/07 14:35:30	1928	0	0
2005/02/07 14:35:40	3107	0	0
2005/02/07 14:35:50	680	0	0
2005/02/07 14:36:00	3635	0	0
2005/02/07 14:36:10	2647	0	0
2005/02/07 14:36:20	2016	0	0
2005/02/07 14:36:30	1348	0	0
2005/02/07 14:36:40	4582	0	0
2005/02/07 14:36:50	4207	0	0
2005/02/07 14:37:00	19405	0	0
2005/02/07 14:37:10	1564	0	0
2005/02/07 14:37:20	6678	0	0
2005/02/07 14:37:30	2895	0	0
2005/02/07 14:37:40	2536	0	0
2005/02/07 14:37:50	956	0	0
2005/02/07 14:38:00	2975	0	0
2005/02/07 14:38:10	21665	0	0
2005/02/07 14:38:20	1505	0	0
2005/02/07 14:38:30	780	0	0
2005/02/07 14:38:40	4439	0	0
2005/02/07 14:38:50	2488	0	0
2005/02/07 14:39:00	2907	0	0
2005/02/07 14:39:10	1204	0	0
2005/02/07 14:39:20	396	0	0
2005/02/07 14:39:30	300	0	0
2005/02/07 14:39:40	4247	0	0
2005/02/07 14:39:50	9626	0	0
2005/02/07 14:40:00	2735	0	0
2005/02/07 14:40:10	724	0	0
2005/02/07 14:40:20	2874	0	0
2005/02/07 14:40:30	240	0	0
2005/02/07 14:40:40	3742	0	0
2005/02/07 14:40:50	2000	0	0
2005/02/07 14:41:00	1775	0	0
2005/02/07 14:41:10	1204	0	0
2005/02/07 14:41:20	1596	0	0
2005/02/07 14:41:30	120	0	0
2005/02/07 14:41:40	2876	0	0
2005/02/07 14:41:50	860	0	0
2005/02/07 14:42:00	2613	0	0
2005/02/07 14:42:10	2385	0	0
2005/02/07 14:42:20	948	0	0
2005/02/07 14:42:30	60	0	0
2005/02/07 14:42:40	2384	0	0
2005/02/07 14:42:50	892	0	0
2005/02/07 14:43:00	2015	0	0
2005/02/07 14:43:10	1324	0	0
2005/02/07 14:43:20	576	0	0
2005/02/07 14:43:30	120	0	0
2005/02/07 14:43:40	3284	0	0
2005/02/07 14:43:50	1580	0	0
2005/02/07 14:44:00	3455	0	0
2005/02/07 14:44:10	1684	0	0
2005/02/07 14:44:20	816	0	0
2005/02/07 14:44:30	600	0	0
2005/02/07 14:44:40	2384	0	0
2005/02/07 14:44:50	1759	0	0
2005/02/07 14:45:00	2875	0	0
2005/02/07 14:45:10	2164	0	0
2005/02/07 14:45:20	756	0	0
2005/02/07 14:45:30	906	0	0
2005/02/07 14:45:40	3164	0	0
2005/02/07 14:45:50	1220	0	0
2005/02/07 14:46:00	2135	0	0
2005/02/07 14:46:10	1024	0	0
2005/02/07 14:46:20	456	0	0
2005/02/07 14:46:30	360	0	0
2005/02/07 14:46:40	3281	0	0
2005/02/07 14:46:50	980	0	0
2005/02/07 14:47:00	2255	0	0
2005/02/07 14:47:10	724	0	0
2005/02/07 14:47:20	1152	0	0
2005/02/07 14:47:30	540	0	0
2005/02/07 14:47:40	3284	0	0
2005/02/07 14:47:50	980	0	0
2005/02/07 14:48:00	1775	0	0
2005/02/07 14:48:10	724	0	0
2005/02/07 14:48:20	996	0	0
2005/02/07 14:48:30	407	0	0
2005/02/07 14:48:40	3060	0	0
2005/02/07 14:48:50	1400	0	0
2005/02/07 14:49:00	1897	0	0
2005/02/07 14:49:10	1024	0	0
2005/02/07 14:49:20	816	0	0
2005/02/07 14:49:30	1088	0	0
2005/02/07 14:49:40	3376	0	0
2005/02/07 14:49:50	680	0	0
2005/02/07 14:50:00	2253	0	0
2005/02/07 14:50:10	724	0	0
2005/02/07 14:50:20	882	0	0
2005/02/07 14:50:30	788	0	0
2005/02/07 14:50:40	3314	0	0
2005/02/07 14:50:50	2360	0	0
2005/02/07 14:51:00	3035	0	0
2005/02/07 14:51:10	784	0	0
2005/02/07 14:51:20	756	0	0
2005/02/07 14:51:30	600	0	0
2005/02/07 14:51:40	3227	0	0
2005/02/07 14:51:50	1160	0	0
2005/02/07 14:52:00	1174	0	0
2005/02/07 14:52:10	1688	0	0
2005/02/07 14:52:20	1599	0	0
2005/02/07 14:52:30	300	0	0
2005/02/07 14:52:40	3164	0	0
2005/02/07 14:52:50	1436	0	0
2005/02/07 14:53:00	1174	0	0
2005/02/07 14:53:10	2945	0	0
2005/02/07 14:53:20	702	0	0
2005/02/07 14:53:30	60	0	0
2005/02/07 14:53:40	2627	0	0
2005/02/07 14:53:50	620	0	0
2005/02/07 14:54:00	3835	0	0
2005/02/07 14:54:10	1807	0	0
2005/02/07 14:54:20	930	0	0
2005/02/07 14:54:30	26354	0	0
2005/02/07 14:54:40	37842	0	0
INPUT_DATE	/	/usr/local	/home1
2005/02/07 14:24:50	96	57	97
2005/02/07 14:25:00	96	57	97
2005/02/07 14:25:10	96	57	97
2005/02/07 14:25:20	96	57	97
2005/02/07 14:25:30	96	57	97
2005/02/07 14:25:40	96	57	97
2005/02/07 14:25:50	96	57	97
2005/02/07 14:26:00	96	57	97
2005/02/07 14:26:10	96	57	97
2005/02/07 14:26:20	96	57	97
2005/02/07 14:26:30	96	57	97
2005/02/07 14:26:40	96	57	97
2005/02/07 14:26:50	96	57	97
2005/02/07 14:27:00	96	57	97
2005/02/07 14:27:10	96	57	97
2005/02/07 14:27:20	96	57	97
2005/02/07 14:27:30	96	57	97
2005/02/07 14:27:40	96	57	97
2005/02/07 14:27:50	96	57	97
2005/02/07 14:28:00	96	57	97
2005/02/07 14:28:10	96	57	97
2005/02/07 14:28:20	96	57	97
2005/02/07 14:28:30	96	57	97
2005/02/07 14:28:40	96	57	97
2005/02/07 14:28:50	96	57	97
2005/02/07 14:29:00	96	57	97
2005/02/07 14:29:10	96	57	97
2005/02/07 14:29:20	96	57	97
2005/02/07 14:29:30	96	57	97
2005/02/07 14:29:40	96	57	97
2005/02/07 14:29:50	96	57	97
2005/02/07 14:30:00	96	57	97
2005/02/07 14:30:10	96	57	97
2005/02/07 14:30:20	96	57	97
2005/02/07 14:30:30	96	57	97
2005/02/07 14:30:40	96	57	97
2005/02/07 14:30:50	96	57	97
2005/02/07 14:31:00	96	57	97
2005/02/07 14:31:10	96	57	97
2005/02/07 14:31:20	96	57	97
2005/02/07 14:31:30	96	57	97
2005/02/07 14:31:40	96	57	97
2005/02/07 14:31:50	96	57	97
2005/02/07 14:32:00	96	57	97
2005/02/07 14:32:10	96	57	97
2005/02/07 14:32:20	96	57	97
2005/02/07 14:32:30	96	57	97
2005/02/07 14:32:40	96	57	97
2005/02/07 14:32:50	96	57	97
2005/02/07 14:33:00	96	57	97
2005/02/07 14:33:10	96	57	97
2005/02/07 14:33:20	96	57	97
2005/02/07 14:33:30	96	57	97
2005/02/07 14:33:40	96	57	97
2005/02/07 14:33:50	96	57	97
2005/02/07 14:34:00	96	57	97
2005/02/07 14:34:11	96	57	97
2005/02/07 14:34:20	96	57	97
2005/02/07 14:34:30	96	57	97
2005/02/07 14:34:40	96	57	97
2005/02/07 14:34:50	96	57	97
2005/02/07 14:35:00	96	57	97
2005/02/07 14:35:10	96	57	97
2005/02/07 14:35:20	96	57	97
2005/02/07 14:35:30	96	57	97
2005/02/07 14:35:40	96	57	97
2005/02/07 14:35:50	96	57	97
2005/02/07 14:36:00	96	57	97
2005/02/07 14:36:10	96	57	97
2005/02/07 14:36:20	96	57	97
2005/02/07 14:36:30	96	57	97
2005/02/07 14:36:40	96	57	97
2005/02/07 14:36:50	96	57	97
2005/02/07 14:37:00	96	57	97
2005/02/07 14:37:10	96	57	97
2005/02/07 14:37:20	96	57	97
2005/02/07 14:37:30	96	57	97
2005/02/07 14:37:40	96	57	97
2005/02/07 14:37:50	96	57	97
2005/02/07 14:38:00	96	57	97
2005/02/07 14:38:10	96	57	97
2005/02/07 14:38:20	96	57	97
2005/02/07 14:38:30	96	57	97
2005/02/07 14:38:40	96	57	97
2005/02/07 14:38:50	96	57	97
2005/02/07 14:39:00	96	57	97
2005/02/07 14:39:10	96	57	97
2005/02/07 14:39:20	96	57	97
2005/02/07 14:39:30	96	57	97
2005/02/07 14:39:40	96	57	97
2005/02/07 14:39:50	96	57	97
2005/02/07 14:40:00	96	57	97
2005/02/07 14:40:10	96	57	97
2005/02/07 14:40:20	96	57	97
2005/02/07 14:40:30	96	57	97
2005/02/07 14:40:40	96	57	97
2005/02/07 14:40:50	96	57	97
2005/02/07 14:41:00	96	57	97
2005/02/07 14:41:10	96	57	97
2005/02/07 14:41:20	96	57	97
